PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO PORTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;NAO_COMUNICAR;2016-07-12 00:00:00.0;;false;true;;24670.12;;270.0;600.0;100.0;181.0;;false;775674.2799999999;false;SP
Cartão;NAO_COMUNICAR;2015-06-18 00:00:00.0;;false;true;;12798.9;;250.0;600.0;100.0;181.0;;true;847918.9299999999;false;SP
Cartão;COMUNICAR;2016-04-19 00:00:00.0;;false;true;;3500.0;;131.0;600.0;131.0;181.0;;false;604918.23;false;SP
Cartão;NAO_COMUNICAR;2016-07-29 00:00:00.0;;false;true;;2600.0;;120.0;600.0;120.0;181.0;;false;821118.2000000001;false;RJ
PortoPar;NAO_COMUNICAR;2015-01-09 00:00:00.0;;false;false;;15000.0;;50.0;2400.0;;85.0;;false;2568216.5;false;SP
PortoPar;NAO_COMUNICAR;2015-01-09 00:00:00.0;;false;false;;15000.0;;50.0;2400.0;;85.0;;false;2568216.5;false;SP
Automóvel Porto / RE - Residencial / Cartão;;2016-10-04 00:00:00.0;;false;false;;100000.0;;640.0;1400.0;;341.0;;false;1023182.846666667;false;RJ
Cartão;;2015-11-01 00:00:00.0;;false;true;;24140.04;;390.0;1600.0;150.0;181.0;;false;2780399.58;false;SP
PortoPar;;2016-06-24 00:00:00.0;;false;false;;5170.0;;320.0;1600.0;;85.0;;false;1241833.12;false;RJ
PortoPar;;2016-02-12 00:00:00.0;;false;true;;9254.0;;150.0;1600.0;100.0;85.0;;false;714722.0;false;SP
Automóvel Porto / Cartão;;2012-11-17 00:00:00.0;;false;false;;14857.72;;150.0;1400.0;;261.0;;false;1124747.113333333;false;SP
Cartão;;2015-06-26 00:00:00.0;;false;true;;17332.69;;390.0;1200.0;131.0;181.0;;false;1478065.72;false;PI
PortoPar;;2016-05-05 00:00:00.0;;false;true;;15030.0;;70.0;1600.0;30.0;85.0;;false;301215.54;false;RS
Cartão;;2012-11-18 00:00:00.0;;false;false;;100000.0;;370.0;1200.0;;181.0;;false;644481.96;true;SP
Cartão;;2017-09-27 00:00:00.0;;false;true;;100000.0;;350.0;1210.0;130.0;181.0;;false;108403.1;false;SP
PortoPar;;2016-06-16 00:00:00.0;;false;false;;7500.0;;50.0;1600.0;;85.0;;false;387038.55;false;SP
Cartão;;2016-02-01 00:00:00.0;;false;true;;7932.0;;350.0;1200.0;225.0;181.0;;false;2318913.1;false;SP
Cartão;;2015-04-09 00:00:00.0;;false;false;;49791.37;;330.0;1200.0;;181.0;;false;374420.08;false;SP
Cartão;;2016-10-06 00:00:00.0;;false;false;;51128.0;;320.0;1200.0;;181.0;;false;496826.33;false;RJ
Cartão;;2015-11-18 00:00:00.0;;false;true;;106119.72;;300.0;1210.0;71.0;181.0;;false;789560.4799999999;false;BA
Cartão;;2018-10-06 00:00:00.0;;false;true;;82505.0;;300.0;1200.0;150.0;181.0;;false;527941.91;true;GO
Consórcio;;2017-12-07 00:00:00.0;;false;false;;1.0;;375.0;1200.0;;100.0;;false;218575.21;false;CE
Cartão;;2016-02-10 00:00:00.0;;false;false;;3500.0;;280.0;1200.0;;181.0;;false;738072.99;false;GO
Cartão;;2016-12-09 00:00:00.0;;false;true;;28595.96;;570.0;900.0;130.0;181.0;;false;949802.4900000001;false;RS
Cartão;;2015-10-21 00:00:00.0;;false;false;;100000.0;;200.0;1210.0;;181.0;;false;487694.14;false;SP
Automóvel Porto / Cartão;;2013-10-26 00:00:00.0;;false;true;;5643.81;;350.0;910.0;80.0;261.0;;false;1449282.07;false;SP
Locadora;;;;false;false;;5587.083386236;;170.0;1200.0;;140.0;;false;624896.0;false;SP
Automóvel Porto / Vida Individual / Cartão;;2017-07-13 00:00:00.0;;false;true;;100000.0;;395.0;800.0;175.0;297.0;;false;103226.3505575;false;PB
Cartão;;2013-09-02 00:00:00.0;;false;false;;64715.0;;300.0;1000.0;;181.0;;false;489063.21;false;MG
Cartão;;2020-05-08 00:00:00.0;;false;false;;37230.0;;300.0;1000.0;;181.0;;false;503774.02;false;SP
Cartão;;2015-08-20 00:00:00.0;;false;true;;11099.26;;300.0;1000.0;131.0;181.0;;false;410039.1799999999;false;SP
Automóvel Porto / RE - Residencial / Cartão;;2016-03-16 00:00:00.0;;false;true;;46408.14;;330.0;800.0;130.0;341.0;;false;138762.225;false;SP
Cartão;;2015-08-22 00:00:00.0;;false;true;;14956.0;;270.0;1000.0;170.0;181.0;;false;580707.02;false;SP
Automóvel Porto / RE - Residencial / Vida Individual / Cartão;;2023-10-19 00:00:00.0;;false;false;;100000.0;;270.0;800.0;;377.0;;false;72095.90725416667;false;SP
Locadora;;2016-06-17 00:00:00.0;;false;false;;11856.0;;100.0;1200.0;;140.0;;false;1225160.1;false;SP
Cartão;;2015-02-04 00:00:00.0;;false;false;;99609.0;;150.0;1100.0;;181.0;;false;469087.04;false;MG
Cartão;;2024-01-13 00:00:00.0;;false;false;;54133.0;;250.0;1000.0;;181.0;;false;442207.61;false;BA
Cartão;;2015-02-05 00:00:00.0;;false;true;;7835.22;;600.0;600.0;150.0;181.0;;false;59000.0;false;CE
Automóvel Porto / RE - Residencial / Cartão;;2016-06-29 00:00:00.0;;false;true;;100000.0;;220.0;800.0;130.0;341.0;;false;1295687.523333333;false;SP
Cartão;;2018-09-29 00:00:00.0;;false;true;;1.25E+8;;270.0;910.0;120.0;181.0;130.0;false;368905.89;false;SP
Consórcio;;2016-03-15 00:00:00.0;;false;false;;6946.0;;50.0;1200.0;;100.0;;false;245639.05;false;SP
Cartão;;2016-05-31 00:00:00.0;;false;true;;6022.99;;351.0;800.0;81.0;181.0;;false;150086.87;false;PE
Cartão;;2015-10-07 00:00:00.0;;false;true;;34117.92;;540.0;610.0;81.0;181.0;;false;894186.7699999999;false;SP
Cartão;;2020-01-01 00:00:00.0;;false;false;;3822.0;;150.0;1000.0;;181.0;;false;156887.62;false;SP
Cartão;;2016-07-08 00:00:00.0;;false;true;;31601.7;;240.0;910.0;151.0;181.0;;false;69592.65;false;PE
Cartão;;2016-07-27 00:00:00.0;;false;true;;15284.41;;130.0;1010.0;130.0;181.0;;false;177096.36;false;SP
Automóvel Porto;;2014-06-26 00:00:00.0;;false;false;;29256.0;;440.0;800.0;;80.0;;false;1299824.0;false;PR
Consórcio;;2023-10-20 00:00:00.0;;false;false;;100000.0;;10.0;1200.0;;100.0;;false;1534928.9;false;SP
Cartão;;2017-06-01 00:00:00.0;;false;true;;83342.0;;100.0;1010.0;80.0;181.0;;false;556307.1399999999;false;SP
Cartão;;2022-08-24 00:00:00.0;;false;false;;1547.0;;80.0;1000.0;;181.0;;false;142146.23;false;SP
Cartão;;2015-05-11 00:00:00.0;;false;true;;5958.05;;470.0;600.0;191.0;181.0;;false;306552.3900000001;false;RJ
Cartão;;2019-10-04 00:00:00.0;;false;true;;100000.0;;450.0;600.0;450.0;181.0;;false;54000.0;false;RS
Cartão;;2015-04-22 00:00:00.0;;false;true;;28121.0;;240.0;800.0;170.0;181.0;;false;163859.5;false;SP
Cartão;;2018-03-01 00:00:00.0;;false;true;;7947.0;;420.0;610.0;171.0;181.0;;false;689695.86;false;CE
Cartão;;2012-12-07 00:00:00.0;;false;true;;7037.54;;420.0;610.0;171.0;181.0;;false;329906.87;false;SP
Capitalização / RE - Patrimonial;;2016-12-09 00:00:00.0;;false;false;;1010416.666666667;;140.0;950.0;;117.0;10.0;false;1371163.81;true;RS
Cartão;;2015-08-20 00:00:00.0;;false;true;;86156.0;;420.0;600.0;150.0;181.0;;false;407477.77;false;RJ
Cartão;;2015-08-18 00:00:00.0;;false;true;;62500.0;;220.0;800.0;80.0;181.0;;false;147025.15;false;SP
Automóvel Porto;;2018-03-23 00:00:00.0;;false;false;;87931.0;;320.0;800.0;;80.0;;false;1341072.0;false;PR
Cartão;;2015-11-18 00:00:00.0;;false;true;;100000.0;;500.0;510.0;80.0;181.0;;false;14750.5;false;SP
