PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;NAO_COMUNICAR;2016-05-31 00:00:00.0;;false;true;;3500.0;;205.0;600.0;170.0;181.0;;false;503730.6899999999;true;CE
Cartão;NAO_COMUNICAR;2015-02-02 00:00:00.0;;false;true;;45217.0;;151.0;600.0;151.0;181.0;;false;336924.13;false;RS
PortoPar;NAO_COMUNICAR;2019-05-08 00:00:00.0;;false;false;;5222.0;;275.0;1600.0;;85.0;;false;723326.38;false;SP
Capitalização;NAO_COMUNICAR;2024-07-05 00:00:00.0;;false;false;;100000.0;;10.0;1000.0;;80.0;;false;2564250.72;false;SP
Capitalização;NAO_COMUNICAR;2018-04-24 00:00:00.0;;false;true;;20967.0;;140.0;850.0;130.0;80.0;;false;57128.72525767;false;RJ
Capitalização;NAO_COMUNICAR;2015-08-12 00:00:00.0;;false;false;;17195.0;;140.0;850.0;;80.0;;false;50107.26;false;RJ
Automóvel Porto;NAO_COMUNICAR;2023-07-07 00:00:00.0;;false;false;;13333.33333333333;;130.0;850.0;;80.0;130.0;false;25796.49;false;SC
Capitalização;NAO_COMUNICAR;2016-02-03 00:00:00.0;;false;false;;8053.0;;101.0;850.0;;80.0;;false;69326.02;false;SP
Capitalização;NAO_COMUNICAR;2016-04-04 00:00:00.0;;false;false;;1.0;;100.0;850.0;;80.0;;false;63000.0;false;RJ
Capitalização;NAO_COMUNICAR;2023-10-19 00:00:00.0;;false;false;;100000.0;;100.0;850.0;;80.0;;false;152071.37252106;false;SP
Capitalização;NAO_COMUNICAR;2016-05-16 00:00:00.0;;false;false;;3836.0;;80.0;850.0;;80.0;;false;8400.0;false;SP
Capitalização;NAO_COMUNICAR;2015-09-17 00:00:00.0;;false;false;;17321.0;;70.0;850.0;;80.0;;false;69093.56;false;SP
Automóvel Frota Porto;NAO_COMUNICAR;2023-10-19 00:00:00.0;;false;false;;2500000.0;;70.0;850.0;;65.0;70.0;false;35476.03;false;SP
Capitalização;COMUNICAR;2015-08-15 00:00:00.0;;false;false;;6024.0;;50.0;850.0;;80.0;;false;20000.0;false;SP
Capitalização;COMUNICAR;2024-07-10 00:00:00.0;;false;false;;2225.0;;30.0;850.0;;80.0;;false;26993.02;false;SP
